"Activity Name","Service Provider Name","Service Provider Email Address","Contact Number","Contact Email",Category(s),"Age Group(s)","Reporting Region","Number of active referrals","Number of times details viewed",ICP,PCN,"Activity Post Code","Service Provider Post Code",Active,Link
"Croydon Libraries","Croydon South West Local Community Partnership",,02078845140,croydoncenreallibrary@croydon.gov.uk,"Library & Reading Groups","0-5, 16-21, 21-65, 50+, Under 16",,0,129,,,"CR9 1ET","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/e48efb80-b4e0-11ec-8d57-2f4e45a30111/croydon-libraries
"Croydon HIV Healthy Living Service",Metro,hiv@metrocharity.org.uk,"020 8305 5006",hiv@metrocharity.org.uk,Advocacy,"16-21, 21-65, 50+, Under 16",,0,134,,,"SE11 5JH","SE11 5JH",1,https://croydon.simplyconnect.uk/activities/ff245cc0-349f-11eb-ab53-6108b6264595/croydon-hiv-healthy-living-service
"Croydon Hearing","Croydon South West Local Community Partnership",,02086860049,hello@croydonhearing.org.uk,"Community Centres","21-65, 50+",,0,224,,,"CR0 4NG","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/ff6156e0-b4e3-11ec-8589-d3e8668abc8a/croydon-hearing
"Croydon Hearing","Croydon North West Local Community Partnership",,,,"Other - Advice, Support & Self Help",,,0,72,,,"CR0 1YE","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/4abd24c0-0d8f-11ed-a558-ef3f57fb79db/croydon-hearing
"Croydon Healthy Home: Free Energy Advice (New Addington)","Croydon South East Local Community Partnership",,,,"General Advice & Info","21-65, 50+",,0,85,,,"CR0 9AZ","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/4fbeb1c0-fc63-11ec-bf06-c1258b7e171a/croydon-healthy-home-free-energy-advice-new-addington
"Croydon COVID-19 Mutual Aid","Croydon Mutual Aid",croydoncovid19ma@gmail.com,,croydoncovid19ma@gmail.com,"Other - Advice, Support & Self Help",,,0,1739,,,CR0,CR0,1,https://croydon.simplyconnect.uk/activities/d943fab0-702a-11ea-aee5-a31bfef40345/croydon-covid-19-mutual-aid
"Croydon Cougars Basketball Club","Croydon Cougars Basketball Club",croydoncougars@hotmail.co.uk,"07956 212179",croydoncougars@hotmail.co.uk,"Sports Clubs","0-5, 16-21, Under 16",,0,1003,,,CR7,"CR0 7NR",1,https://croydon.simplyconnect.uk/activities/ea146b00-030f-11eb-bf83-637b1926b2e3/croydon-cougars-basketball-club
"Croydon Community Mediation","Croydon South West Local Community Partnership",,"020 8686 6084",office@croydonmediation.org.uk,"Community Centres","21-65, 50+",,0,150,,,"CR0 1RF","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/91fb4d80-b4e2-11ec-b519-85af9407f794/croydon-community-mediation
"Croydon Community Connectors","Croydon Voluntary Action",cva@cvalive.org.uk,07943382193,james.moore@cvalive.org.uk,"Neighbourhood & Communities",,,0,145,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/6d46f040-a131-11ec-8b62-6d938c793105/croydon-community-connectors
"Croydon Carers Choir","Carers Support Centre",info@carersinfo.org.uk,"020 8663 5673",enqueries@carersinfo.org.uk,"Hobbies & Interests",,,0,257,,,"CR0 1PB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/620ac4a0-442f-11ea-9ef2-39e038aef062/croydon-carers-choir
"Croydon Buddies","Young Roots",london@youngroots.org.uk,"07761 514 191",saraq@youngroots.org.uk,"Befriending & Mentoring",16-21,,0,47,,,"CR0 2TB","CR0 2XX",1,https://croydon.simplyconnect.uk/activities/3e3e8110-5f0a-11eb-9542-6bae0e88e9d1/croydon-buddies
"Croydon BME Forum","Croydon North West Local Community Partnership",,,,"Community Based Care",,,0,89,,,"CR0 3RG","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/5f361e80-0d94-11ed-9e02-0b12ff987398/croydon-bme-forum
"Croydon Bach Choir","St Matthew's Church Croydon",churchadmin@stmatthew.org.uk,,,"Social Groups",,,0,144,,,"CR0 5NQ","CR0 5NQ",1,https://croydon.simplyconnect.uk/activities/176471f0-a6a4-11ec-bf8a-1d997bd77219/croydon-bach-choir
"Croydon Auto Bike Scheme","Playplace Innov8 CIC",info@playplace.org,07947687780,clairechacksfield@playplace.org,"Education ","Under 16",,0,262,,,"CR0 9DX","CR0 9EP",1,https://croydon.simplyconnect.uk/activities/f7c32fc0-1529-11eb-8a6e-e3257c05eed1/croydon-auto-bike-scheme
"Croydon Association For Pastoral Care In Mental Health (APCMH)","Croydon North West Local Community Partnership",,,,"Mental Health",,,0,106,,,"CR0 7EB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/2c4fbb60-0da4-11ed-b6e5-8908d26f0dab/croydon-association-for-pastoral-care-in-mental-health-apcmh
"Croydon Airport Visitor Centre Micro-Museum & Archives","Historic Croydon Airport Trust",info@historiccroydonairport.org.uk,"+44 0208 6805878",info@historiccroydonairport.org.uk,"Heritage & Museums",,,0,358,,,"CR0 0XZ","CR0 0XZ",1,https://croydon.simplyconnect.uk/activities/22111f00-4df4-11ea-ab1e-274a8710cc7b/croydon-airport-visitor-centre-micro-museum-archives
"Croham Road Baptist Church","Croydon Central West Local Community Partnership",,,,"Faith Groups",,,0,120,,,"CR2 7AG","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/73b02c00-02ae-11ed-b784-cfb597504332/croham-road-baptist-church
"Croham Hurst Good Neighbours","Croydon Central West Local Community Partnership",,,,,,,0,86,,,"CR2 7DR","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/6bc63d30-081d-11ed-87be-f905266645ba/croham-hurst-good-neighbours
"Crime Reading group (adults)- Thornton Heath","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1023",thorntonheathlibrary@croydon.gov.uk,"Library & Reading Groups","21-65, 50+",,0,174,,,"CR7 7JB","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/aa112850-442f-11ea-a342-c3ac638484b3/crime-reading-group-adults-thornton-heath
"Crime Fiction Reading Group","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1011",liz.hollowood@croydon.gov.uk,"Library & Reading Groups","16-21, 21-65, 50+",,0,260,,,"SW16 4UW","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/618d4150-442f-11ea-a427-53cad7881dfc/crime-fiction-reading-group
"Creative Workshops","Carers Information Service",info@carersinfo.org.uk,07912014133,hello@stephanieturner.co.uk,"Arts & Crafts","16-21, 21-65, 50+",,0,344,,,"CR0 1PB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/f6f57770-6091-11eb-bf88-dffc81b9d1f1/creative-workshops
"Creating Opportunities - An event for parents looking to return to work.",CALAT,,"020 8726 7777",,"Employment, Skills & Enterprise ",21-65,,0,29,,,"CR9 1ET","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/1acba5c0-0e65-11ed-ac34-f120061b7c19/creating-opportunities-an-event-for-parents-looking-to-return-to-work
"Crafty Needles","New Addington Baptist Church",info@newaddingtonbaptistchurch.co.uk,"01689 800291",info@newaddingtonbaptistchurch.co.uk,"Social Groups",,,0,402,,,"CR0 0EE","CR0 0EE",1,https://croydon.simplyconnect.uk/activities/9b996490-5884-11ea-96db-f3bf64e2970e/crafty-needles
"Crafternoon for Young Children - Selsdon","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1017",Isioma.kalanzi@croydon.gov.uk,"Arts & Crafts",0-5,,1,195,,,"CR2 8LA","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/607f83d0-442f-11ea-bc85-3527bb1ba26c/crafternoon-for-young-children-selsdon
"Craft Group","Croydon Vision",info@croydonvision.org.uk,"020 8688 2486",info@croydonvision.org.uk,"Arts & Crafts","16-21, 21-65, 50+, Under 16",,0,134,,,"CR0 2AR","CR0 2AR",1,https://croydon.simplyconnect.uk/activities/4ff09590-7eac-11ea-8114-070e111addb9/craft-group
"Craft and Rhymetime - Ashburton Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1001",ashburtonlibrary@croydon.gov.uk,"Family Activities ",0-5,,0,217,,,"CR9 7AL","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/e3451c40-442f-11ea-b2f1-1f7c78e6df31/craft-and-rhymetime-ashburton-library
"Counselling: Support for Young people Age 11 to 25","Off The Record - Youth Counselling Croydon",croydon@talkofftherecord.org,"020 8251 0251",croydon@talkofftherecord.org,Counselling,,,0,70,,,"CR0 2PR","CR0 2PR",1,https://croydon.simplyconnect.uk/activities/b7c62740-4974-11ed-82f7-2160e52d2cea/counselling-support-for-young-people-age-11-to-25
"Counselling Service: Young people (10-25), Adults and Families","Centre of Change Counselling Service",centreofchangeproject@hotmail.co.uk,,centreofchangeproject@hotmail.co.uk,Counselling,,,1,864,,,"CR0 0DH","CR0 0DH",1,https://croydon.simplyconnect.uk/activities/7c149310-7037-11ea-8c13-43e4cc1edc0d/counselling-service-young-people-10-25-adults-and-families
"Counselling Service","St Dominic's Catholic Church",waddon@rcaos.org.uk,,info@counsellingforlife.com,Counselling,"16-21, 21-65, 50+, Under 16",,0,213,,,"CR0 4HN","CR0 4HN",1,https://croydon.simplyconnect.uk/activities/9dc8bd70-79e4-11ec-9904-99181e126d06/counselling-service
"Counselling for Trans and Non Binary",Metro,hiv@metrocharity.org.uk,"020 8305 5006",hiv@metrocharity.org.uk,Counselling,,,0,22,,,,"SE11 5JH",1,https://croydon.simplyconnect.uk/activities/ac760160-9781-11eb-b9d6-1d6375711cba/counselling-for-trans-and-non-binary
"Counselling for Adults","Woodside Bereavement Service",wbs@thelisteningear.org.uk,,wbs@thelisteningear.org.uk,Bereavement,"16-21, 21-65, 50+",,0,354,,,"SE25 4DX","SE25 4DX",1,https://croydon.simplyconnect.uk/activities/5f4040e0-442f-11ea-970a-234c75e9aad9/counselling-for-adults
"Counselling and Support","Cruse Bereavement Care In Croydon",info@crusecroydon.org.uk,"020 8916 0855",croydon@cruse.org.uk,Bereavement,,,0,2,,,CR8,"CR8 5WS",1,https://croydon.simplyconnect.uk/activities/5f21d550-442f-11ea-b562-91750016f83c/counselling-and-support
"Counselling and Advocacy Services","Rape Crisis South London (Rape and Sexual Abuse Support Centre)",info@rasasc.org.uk,"0208683 3311",info@rasasc.org.uk,"Other - Advice, Support & Self Help",,,0,524,,,"CR0 2TB","CR9 2AW",1,https://croydon.simplyconnect.uk/activities/18aba6e0-9526-11ea-afda-f785e66dc893/counselling-and-advocacy-services
Counselling,"Rape Crisis South London (Rape and Sexual Abuse Support Centre)",info@rasasc.org.uk,"0208 683 331",info@rasasc.org.uk,"Violence & Abuse","16-21, 21-65, 50+, Under 16",,0,234,,,CR0,"CR9 2AW",1,https://croydon.simplyconnect.uk/activities/5e4c3d40-442f-11ea-8acc-498827514cbd/counselling
Counselling,"Croydon Vision",info@croydonvision.org.uk,"020 8688 2486",info@croydonvision.org.uk,Counselling,"16-21, 21-65, 50+, Under 16",,0,500,,,"CR0 2AR","CR0 2AR",1,https://croydon.simplyconnect.uk/activities/5e7d0bf0-442f-11ea-85ad-8308c3da7328/counselling
Counselling,"Care to Listen",enquiries@caretolisten.co.uk,"020 8616 2160",enquiries@caretolisten.co.uk,Counselling,,,0,167,,,"CR0 6AN","CR0 6AN",1,https://croydon.simplyconnect.uk/activities/9ff69150-c2bf-11ea-9083-5f6365df2b19/counselling
"Coronavirus Info Hub","Independent Age",volunteer.recruitment@independentage.org,"020 7605 4200",charity@independentage.org,"Other - Advice, Support & Self Help",,,0,95,,,"W14 8RR","W14 8RL",1,https://croydon.simplyconnect.uk/activities/2cea4f80-3490-11eb-9a2f-f939e16aa4e4/coronavirus-info-hub
"Corner House Tea Room","Croydon South West Local Community Partnership",,,,"Social Groups",,,0,190,,,"CR2 9BX","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/aa4dbee0-b0e3-11ec-a7fe-934a24d59a7c/corner-house-tea-room
"Cooking and Gardening Skills","Good Food Matters",enquiries@goodfoodmatters.org.uk,,angela@goodfoodmatters.org.uk,"Education ",,,0,420,,,"CR0 0PN","CR0 0PN",1,https://croydon.simplyconnect.uk/activities/f2e4f120-0ed5-11eb-b5f8-512aff52d19f/cooking-and-gardening-skills
"Connecting with Creativity","Carers Information Service",info@carersinfo.org.uk,"020 8649 9339, opt 1",info@carersinfo.org.uk,"Carers ",,,0,102,,,"CR0 1PB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/0a661500-d1e6-11ec-9460-99b4a4c89ed9/connecting-with-creativity
"Connect Up",ClearCommunityWeb,info@clearcommunityweb.co.uk,"07523 646 277",info@clearcommunityweb.co.uk,"Digital Inclusion",50+,,0,257,,,"CR0 1LP","SE19 2TF",1,https://croydon.simplyconnect.uk/activities/b34b4080-c6df-11ec-ad87-3b7960525669/connect-up
"Connect Up",ClearCommunityWeb,info@clearcommunityweb.co.uk,,info@clearcommunityweb.co.uk,"Education ",,,0,35,,,"CR7 7JB","SE19 2TF",1,https://croydon.simplyconnect.uk/activities/9fc623a0-55de-11ed-928c-0310e48fc357/connect-up
"Connect Up",ClearCommunityWeb,info@clearcommunityweb.co.uk,,,"Education ",,,0,2,,,"CR7 7JB","SE19 2TF",1,https://croydon.simplyconnect.uk/activities/b542cbb0-8130-11ed-8b13-537c4ab3660f/connect-up
"Confidential and free helpline service","Family Lives",askus@familylives.org.uk,"0808 800 2222",askus@familylives.org.uk,"Other - Advice, Support & Self Help",,,0,332,,,"CR0 2TB","AL9 5HZ",1,https://croydon.simplyconnect.uk/activities/713575d0-906a-11ea-a24f-0dd029f791da/confidential-and-free-helpline-service
"Confidence Building Workshop","Advice Support Knowledge Information Ltd",info@aski.org.uk,"07759 194 567",info@aski.org.uk,"Employment, Skills & Enterprise ","16-21, 21-65, 50+",,0,19,,,"CR7 7JJ","CR7 7JJ",1,https://croydon.simplyconnect.uk/activities/4e8b9c60-d05d-11ec-b894-2579529bca56/confidence-building-workshop
"Conference Room Hire","QEF Mobility Services",transporthubproject@qef.org.uk,"020 8770 1151",mobility@qef.org.uk,"Other - Social Groups & Activities",,,0,344,,,"SM5 4AW","SM5 4AW",1,https://croydon.simplyconnect.uk/activities/5e0ac9e0-442f-11ea-a7fe-730c9c13e7ad/conference-room-hire
"Computer Training (L & S)","Purley Cross Community Information Centre",info@purleycrosscentre.org,"0208 668 4189",manager@purleycrosscentre.org,"Education ","16-21, 21-65, 50+",,0,418,,,"CR8 3AE","CR8 3EA",1,https://croydon.simplyconnect.uk/activities/5de1ca90-442f-11ea-8c06-69edb30511f4/computer-training-l-s
"Computer Class- Broad Green","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1005",broadgreenlibrary@croydon.gov.uk,"Education ","16-21, 21-65, 50+",,0,234,,,"CR0 3HH","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/b287b2d0-442f-11ea-acd0-fbb8df982fb6/computer-class-broad-green
"Community Tech Support",ClearCommunityWeb,info@clearcommunityweb.co.uk,07523646277,info@clearcommunityweb.co.uk,"Digital Inclusion","21-65, 50+",,0,95,,,"SE19 2TF","SE19 2TF",1,https://croydon.simplyconnect.uk/activities/33c54660-246a-11ed-965d-a1008e496eb7/community-tech-support
"Community Support Training and IT skills lessons for Asian Families","Empowering Tamil Families",yogarani16@gmail.com,,yogarani16@gmail.com,"Education ","21-65, 50+",,0,376,,,"CR0 3HA","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/dedd4050-0ecb-11eb-ae41-e3a013d24912/community-support-training-and-it-skills-lessons-for-asian-families
"Community Resilience Workshops","British Red Cross - Community Resilience & Emergency Planning",CommunityResilienceLondon@redcross.org.uk,"07793 666050",CommunityResilienceLondon@redcross.org.uk,"Education ","16-21, 21-65",,0,268,,,"EC2Y 9AL","SW19 4EE",1,https://croydon.simplyconnect.uk/activities/19c3c360-24d1-11eb-a3c8-13da985d7d6c/community-resilience-workshops
"Community Needlework Workshop","African Youth Development Association",AYDA-06@hotmail.com,"020 8688 6000",admin@aydacentre.org,"Youth Social Groups","16-21, Under 16",,0,109,,,"CR7 7BE","CR0 1RF",1,https://croydon.simplyconnect.uk/activities/0bbf8450-cc5c-11ec-895f-a15f4ee2bd0a/community-needlework-workshop
"Community Mediation in Croydon","Croydon Community Mediation",office@croydonmediation.org.uk,"020 8686 6084",office@croydonmediation.org.uk,"Other - Advice, Support & Self Help",,,0,242,,,"CR0 1RF","CR9 1XS",1,https://croydon.simplyconnect.uk/activities/9823a250-7f29-11ea-8d09-b18ea18e305a/community-mediation-in-croydon
"Community Garden","Wandle Park Project",Andrew.Dickinson@croydon.gov.uk,,Andrew.Dickinson@croydon.gov.uk,"Gardening & Environment","16-21, 21-65, 50+, Under 16",,1,444,,,"CR0 4XT","CR0 1EA",1,https://croydon.simplyconnect.uk/activities/5d7870f0-442f-11ea-b4a8-4b425b9a3d1e/community-garden
"Community Friendship Club","Christ Church Methodist Addiscombe",enquiries@christchurchmeth.org.uk,"020 8654 5481",enquiries@christchurchmeth.org.uk,"Social Groups",,,1,533,,,"CR0 6AD","CR0 6AD",1,https://croydon.simplyconnect.uk/activities/2d9d96b0-58a3-11ea-a97d-533fb07d15a1/community-friendship-club
"Community Counselling for 10-25 year olds","Croydon Drop In",enquiries@croydondropin.org.uk,02086800404,rhonakenny@croydondropin.org.uk,"Community Based Care","16-21, 21-65, Under 16",,0,274,,,"CRO 1RF","CR0 1RF",1,https://croydon.simplyconnect.uk/activities/6d354560-e3cf-11eb-b728-176f9606fc70/community-counselling-for-10-25-year-olds
"Community Connect","Family Centre Fieldway",familycentre.fieldway@virgin.net,07498058733,familycentre.fieldway@virgin.net,"Financial (debt advice or grants)","16-21, 21-65, 50+",,0,559,,,CR09AZ,"CR0 9AZ",1,https://croydon.simplyconnect.uk/activities/12738380-4df4-11ea-bd77-db93356a2ad1/community-connect
"Community Chat","Asian Resource Centre of Croydon",info@arccltd.com,"0208 684 3784",info@arccltd.com,"Social Groups",,,1,397,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/5a3d9320-28e0-11eb-8f8e-3d8118fae156/community-chat
"Community central hub","Confirmed Anomalies CIC",Confirmedanomaliescic@gmail.com,07838445148,Confirmedanomaliescic@gmail.com,Wellbeing,"0-5, 16-21, 21-65, 50+, Under 16",,0,53,,,"CR0 1XT","CR0 2BF",1,https://croydon.simplyconnect.uk/activities/6aff61e0-43f2-11ed-b412-b1dae7a76a89/community-central-hub
"Community Cafe","New Addington Baptist Church",info@newaddingtonbaptistchurch.co.uk,,info@newaddingtonbaptistchurch.co.uk,"Neighbourhood & Communities",,,0,548,,,"CR0 0ee","CR0 0EE",1,https://croydon.simplyconnect.uk/activities/8cb6d580-5888-11ea-b3b2-0d1b57cda98d/community-cafe
"Community and Workplace Mediation in Croydon","Croydon Community Mediation",office@croydonmediation.org.uk,"020 8686 608",office@croydonmediation.org.uk,"Other - Advice, Support & Self Help",,,0,27,,,,"CR9 1XS",1,https://croydon.simplyconnect.uk/activities/982477d0-7f29-11ea-a3e7-bd07d0048854/community-and-workplace-mediation-in-croydon
"Communicating, Numbers and IT Skills","APASEN - Croydon Opportunity Zone",mohammed.amin@apasen.org.uk,"020 8689 6617",info.croydon@apasen.org.uk,"Education ","16-21, 21-65, 50+",,0,197,,,"CR7 7JY","CR7 7JY",1,https://croydon.simplyconnect.uk/activities/f8cfe3d0-1384-11eb-9520-892725423f24/communicating-numbers-and-it-skills
"Coffee Mornings","St Francis Monks Hill",revpeterw@googlemail.com,,stfrancisselsdon@gmail.com,"Social Groups",50+,,0,250,,,"CR2 8AH","CR2 8AH",1,https://croydon.simplyconnect.uk/activities/5ce59150-442f-11ea-a865-df30c695d3e7/coffee-mornings
"Coffee and Conversation with St  Christopher’s Hospice","MHA Communities South London",katharine.stubbs@mha.org.uk,07597135220,southlondon@mha.org.uk,Bereavement,50+,,0,75,,,"CR9 5AL","CR9 5AL",1,https://croydon.simplyconnect.uk/activities/69736a10-13df-11ed-9c2b-ade6903d5062/coffee-and-conversation-with-st-christophers-hospice
"Coffee and Conversation with  Shirley South Neighbourhood  Team (MET Police)","MHA Communities South London",katharine.stubbs@mha.org.uk,07597135220,southlondon@mha.org.uk,"Neighbourhood & Communities","21-65, 50+",,0,44,,,"CR9 5AL","CR9 5AL",1,https://croydon.simplyconnect.uk/activities/2d9c2000-13de-11ed-95c3-eb6e74bc814c/coffee-and-conversation-with-shirley-south-neighbourhood-team-met-police
"Coffee and Conversation  (bereavement support)","MHA Communities South London",katharine.stubbs@mha.org.uk,07597135220,southlondon@mha.org.uk,Bereavement,,,0,84,,,"CR9 5AL","CR9 5AL",1,https://croydon.simplyconnect.uk/activities/fd6c30e0-13ec-11ed-b407-0f2df901d60f/coffee-and-conversation-bereavement-support
"Coffee and Chats at Shirley Methodist Church - Thursday 23rd December","MHA Communities South London",katharine.stubbs@mha.org.uk,07597135220,southlondon@mha.org.uk,"Other - Social Groups & Activities",50+,,0,18,,,"CR9 5AL","CR9 5AL",1,https://croydon.simplyconnect.uk/activities/f2f0c3a0-5dc2-11ec-bab6-b72a02a6c3a7/coffee-and-chats-at-shirley-methodist-church-thursday-23rd-december
"Coffee & Conversations around the world","MHA Communities South London",katharine.stubbs@mha.org.uk,"07597 135 220",southlondon@mha.org.uk,Wellbeing,"21-65, 50+",,0,115,,,"CR9 5AL","CR9 5AL",1,https://croydon.simplyconnect.uk/activities/73f11930-d065-11ec-b123-cd83fe191c0b/coffee-conversations-around-the-world
"Code Club - Thornton Heath Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1023",anne.pereira@croydon.gov.uk,"Education ","Under 16",,0,221,,,"CR7 7JB","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/5c95f660-442f-11ea-a56e-3732691cd276/code-club-thornton-heath-library
"Classical Listening","Sunrise of Purley",,"0208 676 2300",purley.enquiries@sunriseseniorliving.com,"Social Groups",50+,,1,123,,,"CR8 2LF","CR8 2LF",1,https://croydon.simplyconnect.uk/activities/5c577130-442f-11ea-97bb-6db642f14ceb/classical-listening
"Citizens Advice Croydon","Croydon North East Local Community Partnership",,,,"Other - Advice, Support & Self Help",,,0,64,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/012cb5c0-126d-11ed-8aa4-5939ea2b12ff/citizens-advice-croydon
"Citizens Advice Croydon","Croydon North West Local Community Partnership",,,,"Other - Advice, Support & Self Help",,,0,68,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/b141c210-126d-11ed-b300-9f413e812e60/citizens-advice-croydon
"Citizens Advice Croydon","Croydon Central East Local Community Partnership",,,,"Other - Advice, Support & Self Help",,,0,101,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/12a006c0-126e-11ed-a5b1-8bc1edce23bd/citizens-advice-croydon
"Citizens Advice Croydon","Croydon Central West Local Community Partnership",,,,"Other - Advice, Support & Self Help",,,0,62,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/9d1c7bf0-126e-11ed-9175-db517ee60d60/citizens-advice-croydon
"Citizens Advice Croydon","Croydon South East Local Community Partnership",,,,"Other - Advice, Support & Self Help",,,0,60,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/9e9df120-131b-11ed-ae25-f5cfb0f04fde/citizens-advice-croydon
"Citizens Advice Croydon","Croydon South West Local Community Partnership",,,,"Other - Advice, Support & Self Help",,,0,64,,,"CR0 2TB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/46b8a150-1955-11ed-bfe3-1de1d9cdf632/citizens-advice-croydon
"Circuit Training","Emmanuel Church",office@emmanuelcroydon.org.uk,02086886676,zoe.trower@yahoo.com,"Fitness Classes","21-65, 50+",,0,,,,"CR2 7AQ","CR2 7AF",1,https://croydon.simplyconnect.uk/activities/ef295a40-551c-11ed-bbf4-9946c3ecf12c/circuit-training
"Church Service","Emmanuel Church",office@emmanuelcroydon.org.uk,02086886676,office@emmanuelcroydon.org.uk,"Faith Groups","0-5, 16-21, 21-65, 50+, Under 16",,0,32,,,"CR2 7AF","CR2 7AF",1,https://croydon.simplyconnect.uk/activities/16efa050-5c77-11ed-b2d1-256d5c52f9a2/church-service
"Christmas Homeless Feed-Takeaway Hot meal, Hot Drink plus Christmas package (HN)","Good Food Matters",enquiries@goodfoodmatters.org.uk,"07415 269 112",,Homelessness,,,0,35,,,"CR0 0PN","CR0 0PN",1,https://croydon.simplyconnect.uk/activities/1f1954c0-5e60-11ec-b2c0-d719098fa7f5/christmas-homeless-feed-takeaway-hot-meal-hot-drink-plus-christmas-package-hn
"Christmas Homeless Feed in Croydon and New Addington (FB)","Good Food Matters",enquiries@goodfoodmatters.org.uk,"07415 269 112",,"Food Banks",,,0,150,,,"CR0 0PN","CR0 0PN",1,https://croydon.simplyconnect.uk/activities/14fda850-576b-11ec-94cc-1d94699ec70f/christmas-homeless-feed-in-croydon-and-new-addington-fb
"Christmas Camp with Aim High Dance Academy! FREE for FSM Children!","Aim High Dance Academy",info@aimhighacademy.co.uk,,,"Other - Social Groups & Activities",,,0,20,,,"CR0 2AR","SE25 4PT",1,https://croydon.simplyconnect.uk/activities/22ba0240-6fd9-11ed-8d1d-272545ae10aa/christmas-camp-with-aim-high-dance-academy-free-for-fsm-children
"Chill'n'Chat Special","Croydon Jubilee Church",jane.carey@croydon-jubilee.co.uk,07906398017,info@jubileeparenting.org.uk,Parenting,"16-21, 21-65",,0,17,,,,"CR2 8LA",1,https://croydon.simplyconnect.uk/activities/73b771c0-ccf3-11eb-8e5f-015f34a6fd2e/chillnchat-special
"Chill and Chat for parents of children with additional needs from birth to 5","Croydon Mencap",info@croydonmencap.org.uk,"07718 494 468 (Sue)",chris@croydonmencap.org.uk,"Families, Families, Families, Families, Families",0-5,,0,482,,,"CR7 7HU","CR7 7HU",1,https://croydon.simplyconnect.uk/activities/fae69140-2a6d-11eb-9696-5751825fc010/chill-and-chat-for-parents-of-children-with-additional-needs-from-birth-to-5
"Childrens Yoga",Acorns2Oaks,head-office@acorns2oaks.net,02086388627,soleilsalutations@gmail.com,Wellbeing,"0-5, Under 16",,0,293,,,,"CR0 4YD",1,https://croydon.simplyconnect.uk/activities/45563d80-818b-11eb-8449-0fccba426064/childrens-yoga
"Children’s Services","Bromley and Croydon Women's Aid",info@bcwa.org.uk,02083139303,management@bcwa.org.uk,"Violence & Abuse","0-5, 16-21, Under 16",,0,259,,,SE20,"CR0 2JB",1,https://croydon.simplyconnect.uk/activities/5bb89150-442f-11ea-a15e-e3fac9c43c1b/childrens-services
"Children’s & Young People’s Counselling","Woodside Bereavement Service",wbs@thelisteningear.org.uk,,wbs@thelisteningear.org.uk,Bereavement,"0-5, Under 16",,0,389,,,"SE25 4DX","SE25 4DX",1,https://croydon.simplyconnect.uk/activities/5b9b1d20-442f-11ea-a6aa-792fc6ad7386/childrens-young-peoples-counselling
"Childcare Level 2 - Fairchildes, New Addington","Croydon Council - Best Start",croydonbeststart@croydon.gov.uk,"01689 847136",childrenscentre@fairchildes.croydon.sch.uk,"Education ",0-5,,0,267,,,"CR0 0RJ","CR0 1EA",1,https://croydon.simplyconnect.uk/activities/5b138310-442f-11ea-bb99-39b396967685/childcare-level-2-fairchildes-new-addington
"Chatterbox- Stay and Play Group","New Addington Baptist Church",info@newaddingtonbaptistchurch.co.uk,"01689 800291",info@newaddingtonbaptistchurch.co.uk,Parenting,,,0,636,,,"CR0 0EE","CR0 0EE",1,https://croydon.simplyconnect.uk/activities/a0b1ced0-5887-11ea-9299-cf8ee46c83c1/chatterbox-stay-and-play-group
