Activity Name,Service Provider Name,Service Provider Email Address,Contact Number,Contact Email,Category(s),Age Group(s),Reporting Region,Number of active referrals,Number of times details viewed,ICP,PCN,Activity Post Code,Service Provider Post Code,Active,Start Date,End Date,Link
Croydon Employability Hub,Croydon College,info@croydon.ac.uk,020 8686 5700,info@croydon.ac.uk,"Employment, Skills & Enterprise ",,,0,71,,,CR9 1DX,CR9 1DX,1,1/25/2023 0:00,,https://croydon.simplyconnect.uk/activities/42ca3230-9cbf-11ed-b0dc-d5bdaa735765/croydon-employability-hub
Croydon Cougars Basketball Club,Croydon Cougars Basketball Club,croydoncougars@hotmail.co.uk,07956 212179,croydoncougars@hotmail.co.uk,Sports Clubs,"0-5, 16-21, Under 16",,0,1637,,,CR7,CR0 7NR,1,10/01/2020 00:00,,https://croydon.simplyconnect.uk/activities/ea146b00-030f-11eb-bf83-637b1926b2e3/croydon-cougars-basketball-club
Croydon Community Mediation,Croydon South West Local Community Partnership,,020 8686 6084,office@croydonmediation.org.uk,Community Centres,"21-65, 50+",,0,217,,,CR0 1RF,CR0 2TB,1,04/05/2022 00:00,,https://croydon.simplyconnect.uk/activities/91fb4d80-b4e2-11ec-b519-85af9407f794/croydon-community-mediation
Croydon Carers Choir,Carers Support Centre,info@carersinfo.org.uk,020 8663 5673,enqueries@carersinfo.org.uk,Hobbies & Interests,,,0,271,,,CR0 1PB,CR0 1PB,1,,,https://croydon.simplyconnect.uk/activities/620ac4a0-442f-11ea-9ef2-39e038aef062/croydon-carers-choir
Croydon BME Forum,Croydon North West Local Community Partnership,,,,Community Based Care,,,0,137,,,CR0 3RG,CR0 2TB,1,7/27/2022 0:00,,https://croydon.simplyconnect.uk/activities/5f361e80-0d94-11ed-9e02-0b12ff987398/croydon-bme-forum
Croydon Bach Choir,St Matthew's Church Croydon,churchadmin@stmatthew.org.uk,,,Social Groups,,,0,200,,,CR0 5NQ,CR0 5NQ,1,04/01/2021 00:00,,https://croydon.simplyconnect.uk/activities/176471f0-a6a4-11ec-bf8a-1d997bd77219/croydon-bach-choir
Croydon Auto Bike Scheme,Playplace Innov8 CIC,info@playplace.org,7947687780,clairechacksfield@playplace.org,Education ,Under 16,,0,326,,,CR0 9DX,CR0 9EP,1,10/21/2020 0:00,,https://croydon.simplyconnect.uk/activities/f7c32fc0-1529-11eb-8a6e-e3257c05eed1/croydon-auto-bike-scheme
Croydon Association For Pastoral Care In Mental Health (APCMH),Croydon North West Local Community Partnership,,,,Mental Health,,,0,248,,,CR0 7EB,CR0 2TB,1,7/27/2022 0:00,,https://croydon.simplyconnect.uk/activities/2c4fbb60-0da4-11ed-b6e5-8908d26f0dab/croydon-association-for-pastoral-care-in-mental-health-apcmh
Croydon Airport Visitor Centre Micro-Museum & Archives,Historic Croydon Airport Trust,info@historiccroydonairport.org.uk,+44 0208 6805878,info@historiccroydonairport.org.uk,Heritage & Museums,,,0,389,,,CR0 0XZ,CR0 0XZ,1,10/03/2021 00:00,,https://croydon.simplyconnect.uk/activities/22111f00-4df4-11ea-ab1e-274a8710cc7b/croydon-airport-visitor-centre-micro-museum-archives
Croham Road Baptist Church,Croydon Central West Local Community Partnership,,,,Faith Groups,,,0,180,,,CR2 7AG,CR0 2TB,1,7/13/2022 0:00,,https://croydon.simplyconnect.uk/activities/73b02c00-02ae-11ed-b784-cfb597504332/croham-road-baptist-church
Croham Hurst Good Neighbours,Croydon Central West Local Community Partnership,,,,,,,0,157,,,CR2 7DR,CR0 2TB,1,7/20/2022 0:00,,https://croydon.simplyconnect.uk/activities/6bc63d30-081d-11ed-87be-f905266645ba/croham-hurst-good-neighbours
Crime Reading group (adults)- Thornton Heath,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1023,thorntonheathlibrary@croydon.gov.uk,Library & Reading Groups,"21-65, 50+",,0,215,,,CR7 7JB,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/aa112850-442f-11ea-a342-c3ac638484b3/crime-reading-group-adults-thornton-heath
Crime Fiction Reading Group,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1011,liz.hollowood@croydon.gov.uk,Library & Reading Groups,"16-21, 21-65, 50+",,0,323,,,SW16 4UW,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/618d4150-442f-11ea-a427-53cad7881dfc/crime-fiction-reading-group
Creative Workshops,Carers Information Service,info@carersinfo.org.uk,7912014133,hello@stephanieturner.co.uk,Arts & Crafts,"16-21, 21-65, 50+",,0,414,,,CR0 1PB,CR0 1PB,1,1/14/2021 0:00,,https://croydon.simplyconnect.uk/activities/f6f57770-6091-11eb-bf88-dffc81b9d1f1/creative-workshops
Crafty Needles,New Addington Baptist Church,info@newaddingtonbaptistchurch.co.uk,01689 800291,info@newaddingtonbaptistchurch.co.uk,Social Groups,,,0,437,,,CR0 0EE,CR0 0EE,1,2/25/2022 0:00,,https://croydon.simplyconnect.uk/activities/9b996490-5884-11ea-96db-f3bf64e2970e/crafty-needles
Crafternoon for Young Children - Selsdon,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1017,Isioma.kalanzi@croydon.gov.uk,Arts & Crafts,0-5,,1,254,,,CR2 8LA,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/607f83d0-442f-11ea-bc85-3527bb1ba26c/crafternoon-for-young-children-selsdon
Craft Group,Croydon Vision,info@croydonvision.org.uk,020 8688 2486,info@croydonvision.org.uk,Arts & Crafts,"16-21, 21-65, 50+, Under 16",,0,173,,,CR0 2AR,CR0 2AR,1,,,https://croydon.simplyconnect.uk/activities/4ff09590-7eac-11ea-8114-070e111addb9/craft-group
Craft and Rhymetime - Ashburton Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1001,ashburtonlibrary@croydon.gov.uk,Family Activities ,0-5,,0,347,,,CR9 7AL,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/e3451c40-442f-11ea-b2f1-1f7c78e6df31/craft-and-rhymetime-ashburton-library
Counselling: Support for Young people Age 11 to 25,Off The Record - Youth Counselling Croydon,croydon@talkofftherecord.org,020 8251 0251,croydon@talkofftherecord.org,Counselling,,,0,131,,,CR0 2PR,CR0 2PR,1,10/11/2022 00:00,,https://croydon.simplyconnect.uk/activities/b7c62740-4974-11ed-82f7-2160e52d2cea/counselling-support-for-young-people-age-11-to-25
Counselling Service,Counselling For Life (CFL),info@counsellingforlife.com,7545600611,info@counsellingforlife.com,Counselling,"16-21, 21-65, 50+, Under 16",,0,17,,,ME14 1HH,ME14 1HH,1,3/23/2023 0:00,,https://croydon.simplyconnect.uk/activities/7422ca00-c971-11ed-9eeb-75347ea250c5/counselling-service
Counselling for Adults,Woodside Bereavement Service,wbs@thelisteningear.org.uk,,wbs@thelisteningear.org.uk,Bereavement,"16-21, 21-65, 50+",,0,399,,,SE25 4DX,SE25 4DX,1,,,https://croydon.simplyconnect.uk/activities/5f4040e0-442f-11ea-970a-234c75e9aad9/counselling-for-adults
Counselling and Support,Cruse Bereavement Care In Croydon,info@crusecroydon.org.uk,020 8916 0855,croydon@cruse.org.uk,Bereavement,,,0,2,,,CR8,CR8 5WS,1,,,https://croydon.simplyconnect.uk/activities/5f21d550-442f-11ea-b562-91750016f83c/counselling-and-support
Counselling and Advocacy Services,Rape Crisis South London (Rape and Sexual Abuse Support Centre),info@rasasc.org.uk,0208683 3311,info@rasasc.org.uk,"Other - Advice, Support & Self Help",,,0,573,,,CR0 2TB,CR9 2AW,1,5/13/2020 0:00,,https://croydon.simplyconnect.uk/activities/18aba6e0-9526-11ea-afda-f785e66dc893/counselling-and-advocacy-services
Counselling,Care to Listen,enquiries@caretolisten.co.uk,020 8616 2160,enquiries@caretolisten.co.uk,Counselling,,,0,187,,,CR0 6AN,CR0 6AN,1,03/03/2020 00:00,,https://croydon.simplyconnect.uk/activities/9ff69150-c2bf-11ea-9083-5f6365df2b19/counselling
Counselling,Rape Crisis South London (Rape and Sexual Abuse Support Centre),info@rasasc.org.uk,0208 683 331,info@rasasc.org.uk,Violence & Abuse,"16-21, 21-65, 50+, Under 16",,0,260,,,CR0,CR9 2AW,1,,,https://croydon.simplyconnect.uk/activities/5e4c3d40-442f-11ea-8acc-498827514cbd/counselling
Counselling,Croydon Vision,info@croydonvision.org.uk,020 8688 2486,info@croydonvision.org.uk,Counselling,"16-21, 21-65, 50+, Under 16",,0,552,,,CR0 2AR,CR0 2AR,1,,,https://croydon.simplyconnect.uk/activities/5e7d0bf0-442f-11ea-85ad-8308c3da7328/counselling
Corner House Tea Room,Croydon South West Local Community Partnership,,,,Social Groups,,,0,310,,,CR2 9BX,CR0 2TB,1,3/31/2022 0:00,,https://croydon.simplyconnect.uk/activities/aa4dbee0-b0e3-11ec-a7fe-934a24d59a7c/corner-house-tea-room
Cooking and Gardening Skills,Good Food Matters,enquiries@goodfoodmatters.org.uk,,angela@goodfoodmatters.org.uk,Education ,,,0,469,,,CR0 0PN,CR0 0PN,1,10/15/2020 0:00,,https://croydon.simplyconnect.uk/activities/f2e4f120-0ed5-11eb-b5f8-512aff52d19f/cooking-and-gardening-skills
Conservation Volunteering,MHA The Wilderness,thewilderness@mha.org.uk,07858 376314,thewilderness@mha.org.uk,Gardening & Environment,,,0,,,,CR0 5AQ,CR0 5AQ,1,01/03/2023 00:00,,https://croydon.simplyconnect.uk/activities/07cf00e0-b368-11ed-aa56-4bd38d003d00/conservation-volunteering
Connecting with Creativity,Carers Information Service,info@carersinfo.org.uk,"020 8649 9339, opt 1",info@carersinfo.org.uk,Carers ,,,0,140,,,CR0 1PB,CR0 1PB,1,5/19/2022 0:00,,https://croydon.simplyconnect.uk/activities/0a661500-d1e6-11ec-9460-99b4a4c89ed9/connecting-with-creativity
"Confidential telephone advice service for people 65 +,  their families and carers.",Independent Age,volunteer.recruitment@independentage.org,0207 605 4286,volunteer.recruitment@independentage.org,"Other - Advice, Support & Self Help",,,0,85,,,W14 8RL,W14 8RL,1,1/22/2023 0:00,,https://croydon.simplyconnect.uk/activities/324bdb70-a0be-11ed-8ca0-4f05e849be8b/confidential-telephone-advice-service-for-people-65-their-families-and-carers
Conference Room Hire,QEF Mobility Services,transporthubproject@qef.org.uk,020 8770 1151,mobility@qef.org.uk,Other - Social Groups & Activities,,,0,382,,,SM5 4AW,SM5 4AW,1,,,https://croydon.simplyconnect.uk/activities/5e0ac9e0-442f-11ea-a7fe-730c9c13e7ad/conference-room-hire
Computer Training (L & S),Purley Cross Community Information Centre,info@purleycrosscentre.org,0208 668 4189,manager@purleycrosscentre.org,Education ,"16-21, 21-65, 50+",,0,454,,,CR8 3AE,CR8 3EA,1,10/15/2021 0:00,,https://croydon.simplyconnect.uk/activities/5de1ca90-442f-11ea-8c06-69edb30511f4/computer-training-l-s
Computer Class- Broad Green,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1005,broadgreenlibrary@croydon.gov.uk,Education ,"16-21, 21-65, 50+",,0,270,,,CR0 3HH,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/b287b2d0-442f-11ea-acd0-fbb8df982fb6/computer-class-broad-green
Community Tech Support,ClearCommunityWeb,info@clearcommunityweb.co.uk,7523646277,info@clearcommunityweb.co.uk,Digital Inclusion,"21-65, 50+",,0,178,,,SE19 2TF,SE19 2TF,1,8/25/2022 0:00,,https://croydon.simplyconnect.uk/activities/33c54660-246a-11ed-965d-a1008e496eb7/community-tech-support
Community Support Training and IT skills lessons for Asian Families,Empowering Tamil Families,yogarani16@gmail.com,,yogarani16@gmail.com,Education ,"21-65, 50+",,0,452,,,CR0 3HA,CR0 2TB,1,10/15/2020 0:00,,https://croydon.simplyconnect.uk/activities/dedd4050-0ecb-11eb-ae41-e3a013d24912/community-support-training-and-it-skills-lessons-for-asian-families
Community Resilience Workshops,British Red Cross - Community Resilience & Emergency Planning,CommunityResilienceLondon@redcross.org.uk,07793 666050,CommunityResilienceLondon@redcross.org.uk,Education ,"16-21, 21-65",,0,297,,,EC2Y 9AL,SW19 4EE,1,11/12/2020 00:00,,https://croydon.simplyconnect.uk/activities/19c3c360-24d1-11eb-a3c8-13da985d7d6c/community-resilience-workshops
Community Needlework Workshop,African Youth Development Association,AYDA-06@hotmail.com,020 8688 6000,admin@aydacentre.org,Youth Social Groups,"16-21, Under 16",,0,146,,,CR7 7BE,CR0 1RF,1,3/19/2022 0:00,,https://croydon.simplyconnect.uk/activities/0bbf8450-cc5c-11ec-895f-a15f4ee2bd0a/community-needlework-workshop
Community Mediation in Croydon,Croydon Community Mediation,office@croydonmediation.org.uk,020 8686 6084,office@croydonmediation.org.uk,"Other - Advice, Support & Self Help",,,0,261,,,CR0 1RF,CR9 1XS,1,4/15/2020 0:00,,https://croydon.simplyconnect.uk/activities/9823a250-7f29-11ea-8d09-b18ea18e305a/community-mediation-in-croydon
Community Garden,Wandle Park Project,Andrew.Dickinson@croydon.gov.uk,,Andrew.Dickinson@croydon.gov.uk,Gardening & Environment,"16-21, 21-65, 50+, Under 16",,1,492,,,CR0 4XT,CR0 1EA,1,,,https://croydon.simplyconnect.uk/activities/5d7870f0-442f-11ea-b4a8-4b425b9a3d1e/community-garden
Community Friendship Club,Christ Church Methodist Addiscombe,enquiries@christchurchmeth.org.uk,020 8654 5481,enquiries@christchurchmeth.org.uk,Social Groups,,,1,654,,,CR0 6AD,CR0 6AD,1,2/20/2020 0:00,,https://croydon.simplyconnect.uk/activities/2d9d96b0-58a3-11ea-a97d-533fb07d15a1/community-friendship-club
Community Counselling for 10-25 year olds,Croydon Drop In,enquiries@croydondropin.org.uk,2086800404,rhonakenny@croydondropin.org.uk,Community Based Care,"16-21, 21-65, Under 16",,0,355,,,CRO 1RF,CR0 1RF,1,6/26/2021 0:00,,https://croydon.simplyconnect.uk/activities/6d354560-e3cf-11eb-b728-176f9606fc70/community-counselling-for-10-25-year-olds
Community Chat,Asian Resource Centre of Croydon,info@arccltd.com,0208 684 3784,info@arccltd.com,Social Groups,,,1,441,,,CR0 2TB,CR0 2TB,1,11/16/2020 0:00,,https://croydon.simplyconnect.uk/activities/5a3d9320-28e0-11eb-8f8e-3d8118fae156/community-chat
Community Cafe,New Addington Baptist Church,info@newaddingtonbaptistchurch.co.uk,,info@newaddingtonbaptistchurch.co.uk,Neighbourhood & Communities,,,0,615,,,CR0 0ee,CR0 0EE,1,2/25/2020 0:00,,https://croydon.simplyconnect.uk/activities/8cb6d580-5888-11ea-b3b2-0d1b57cda98d/community-cafe
"Communicating, Numbers and IT Skills",APASEN - Croydon Opportunity Zone,mohammed.amin@apasen.org.uk,020 8689 6617,info.croydon@apasen.org.uk,Education ,"16-21, 21-65, 50+",,0,232,,,CR7 7JY,CR7 7JY,1,10/21/2020 0:00,,https://croydon.simplyconnect.uk/activities/f8cfe3d0-1384-11eb-9520-892725423f24/communicating-numbers-and-it-skills
Coffee Mornings,St Francis Monks Hill,revpeterw@googlemail.com,,stfrancisselsdon@gmail.com,Social Groups,50+,,0,287,,,CR2 8AH,CR2 8AH,1,,,https://croydon.simplyconnect.uk/activities/5ce59150-442f-11ea-a865-df30c695d3e7/coffee-mornings
Coffee & Conversations around the world,MHA Communities South London,katharine.stubbs@mha.org.uk,07597 135 220,southlondon@mha.org.uk,Wellbeing,"21-65, 50+",,0,183,,,CR9 5AL,CR9 5AL,1,05/12/2022 00:00,,https://croydon.simplyconnect.uk/activities/73f11930-d065-11ec-b123-cd83fe191c0b/coffee-conversations-around-the-world
Classical Listening,Sunrise of Purley,,0208 676 2300,purley.enquiries@sunriseseniorliving.com,Social Groups,50+,,1,137,,,CR8 2LF,CR8 2LF,1,,,https://croydon.simplyconnect.uk/activities/5c577130-442f-11ea-97bb-6db642f14ceb/classical-listening
Citizens Advice Croydon,Croydon North East Local Community Partnership,,,,"Other - Advice, Support & Self Help",,,0,101,,,CR0 2TB,CR0 2TB,1,08/02/2022 00:00,,https://croydon.simplyconnect.uk/activities/012cb5c0-126d-11ed-8aa4-5939ea2b12ff/citizens-advice-croydon
Citizens Advice Croydon,Croydon North West Local Community Partnership,,,,"Other - Advice, Support & Self Help",,,0,104,,,CR0 2TB,CR0 2TB,1,08/02/2022 00:00,,https://croydon.simplyconnect.uk/activities/b141c210-126d-11ed-b300-9f413e812e60/citizens-advice-croydon
Citizens Advice Croydon,Croydon Central East Local Community Partnership,,,,"Other - Advice, Support & Self Help",,,0,151,,,CR0 2TB,CR0 2TB,1,08/02/2022 00:00,,https://croydon.simplyconnect.uk/activities/12a006c0-126e-11ed-a5b1-8bc1edce23bd/citizens-advice-croydon
Citizens Advice Croydon,Croydon Central West Local Community Partnership,,,,"Other - Advice, Support & Self Help",,,0,98,,,CR0 2TB,CR0 2TB,1,08/02/2022 00:00,,https://croydon.simplyconnect.uk/activities/9d1c7bf0-126e-11ed-9175-db517ee60d60/citizens-advice-croydon
Citizens Advice Croydon,Croydon South East Local Community Partnership,,,,"Other - Advice, Support & Self Help",,,0,104,,,CR0 2TB,CR0 2TB,1,08/03/2022 00:00,,https://croydon.simplyconnect.uk/activities/9e9df120-131b-11ed-ae25-f5cfb0f04fde/citizens-advice-croydon
Citizens Advice Croydon,Croydon South West Local Community Partnership,,,,"Other - Advice, Support & Self Help",,,0,110,,,CR0 2TB,CR0 2TB,1,08/11/2022 00:00,,https://croydon.simplyconnect.uk/activities/46b8a150-1955-11ed-bfe3-1de1d9cdf632/citizens-advice-croydon
Circuit Training,Emmanuel Church,office@emmanuelcroydon.org.uk,2086886676,zoe.trower@yahoo.com,Fitness Classes,"21-65, 50+",,0,,,,CR2 7AQ,CR2 7AF,1,10/25/2022 0:00,,https://croydon.simplyconnect.uk/activities/ef295a40-551c-11ed-bbf4-9946c3ecf12c/circuit-training
Circle Dance,St Matthew's Church Croydon,churchadmin@stmatthew.org.uk,7568338204,sallyditzel1960@gmail.com,Social Groups,,,0,191,,,CR0 5NQ,CR0 5NQ,1,04/01/2021 00:00,,https://croydon.simplyconnect.uk/activities/3a947790-a6a5-11ec-bb5c-77c6cad75ea9/circle-dance
Cinema Club,Addiscombe Baptist Church,office@addiscombebaptist.org.uk,020 8001 2492,office@addiscombebaptist.org.uk,Other - Social Groups & Activities,"21-65, 50+",,0,62,,,CR0 6HD,CR0 6HD,1,03/02/2023 00:00,,https://croydon.simplyconnect.uk/activities/155de740-b8ed-11ed-b227-5b9937729a4b/cinema-club
Church Service,Emmanuel Church,office@emmanuelcroydon.org.uk,2086886676,office@emmanuelcroydon.org.uk,Faith Groups,"0-5, 16-21, 21-65, 50+, Under 16",,0,60,,,CR2 7AF,CR2 7AF,1,11/04/2022 00:00,,https://croydon.simplyconnect.uk/activities/16efa050-5c77-11ed-b2d1-256d5c52f9a2/church-service
Christians Against Poverty (CAP),Purley Cross Community Information Centre,info@purleycrosscentre.org,020 8668 4189,info@purleycrosscentre.org,Financial (debt advice or grants),"16-21, 21-65, 50+",,0,,,,CR8 3EA,CR8 3EA,1,3/29/2023 0:00,,https://croydon.simplyconnect.uk/activities/17197500-ce40-11ed-856e-f167bc0c25d1/christians-against-poverty-cap
Chill and Chat for parents of children with additional needs from birth to 5,Croydon Mencap,info@croydonmencap.org.uk,07718 494 468 (Sue),chris@croydonmencap.org.uk,"Families, Families, Families, Families, Families",0-5,,0,564,,,CR7 7HU,CR7 7HU,1,11/19/2020 0:00,,https://croydon.simplyconnect.uk/activities/fae69140-2a6d-11eb-9696-5751825fc010/chill-and-chat-for-parents-of-children-with-additional-needs-from-birth-to-5
Childrens Yoga,Acorns2Oaks,head-office@acorns2oaks.net,2086388627,soleilsalutations@gmail.com,Wellbeing,"0-5, Under 16",,0,348,,,,CR0 4YD,1,03/10/2021 00:00,,https://croydon.simplyconnect.uk/activities/45563d80-818b-11eb-8449-0fccba426064/childrens-yoga
Children’s Services,Bromley and Croydon Women's Aid,info@bcwa.org.uk,2083139303,management@bcwa.org.uk,Violence & Abuse,"0-5, 16-21, Under 16",,0,294,,,SE20,CR0 2JB,1,,,https://croydon.simplyconnect.uk/activities/5bb89150-442f-11ea-a15e-e3fac9c43c1b/childrens-services
Children’s & Young People’s Counselling,Woodside Bereavement Service,wbs@thelisteningear.org.uk,,wbs@thelisteningear.org.uk,Bereavement,"0-5, Under 16",,0,430,,,SE25 4DX,SE25 4DX,1,,,https://croydon.simplyconnect.uk/activities/5b9b1d20-442f-11ea-a6aa-792fc6ad7386/childrens-young-peoples-counselling
"Childcare Level 2 - Fairchildes, New Addington",Croydon Council - Best Start,croydonbeststart@croydon.gov.uk,01689 847136,childrenscentre@fairchildes.croydon.sch.uk,Education ,0-5,,0,297,,,CR0 0RJ,CR0 1EA,1,,,https://croydon.simplyconnect.uk/activities/5b138310-442f-11ea-bb99-39b396967685/childcare-level-2-fairchildes-new-addington
Chatterbox- Stay and Play Group,New Addington Baptist Church,info@newaddingtonbaptistchurch.co.uk,01689 800291,info@newaddingtonbaptistchurch.co.uk,Parenting,,,0,736,,,CR0 0EE,CR0 0EE,1,2/25/2020 0:00,,https://croydon.simplyconnect.uk/activities/a0b1ced0-5887-11ea-9299-cf8ee46c83c1/chatterbox-stay-and-play-group
Chartwell Garden,"Chartwell, National Trust",chartwell@nationaltrust.org.uk,0344 800 1895,enquiries@nationaltrust.org.uk,Other - Social Groups & Activities,,,0,221,,,S63 3FH,TN16 1PS,1,11/05/2020 00:00,,https://croydon.simplyconnect.uk/activities/14246ff0-1e8c-11eb-9e4f-5f0f3396654b/chartwell-garden
Changing Lives through Muaythai,Thai Boxing Community Centre,thaiboxingcommunity@gmail.com,,,Sports Clubs,,,0,83,,,CR0 2DA,CR0 2DA,1,8/24/2022 0:00,,https://croydon.simplyconnect.uk/activities/23ed0fb0-23a0-11ed-b2df-fb1edb506789/changing-lives-through-muaythai
Chair-based Exercises,Carers Information Service,info@carersinfo.org.uk,2086635674,enquiries@carersinfo.org.uk,Exercise & Outdoor Activities,,,0,508,,,,CR0 1PB,1,2/23/2021 0:00,,https://croydon.simplyconnect.uk/activities/94067720-7505-11eb-bc6b-5721702e7524/chair-based-exercises
Centre of Change,Croydon South East Local Community Partnership,,,,Counselling,,,0,106,,,CR0 0DH,CR0 2TB,1,08/04/2022 00:00,,https://croydon.simplyconnect.uk/activities/fa3d73e0-13dc-11ed-bacc-0bac3c8885ab/centre-of-change
Celebrate BAME Traditions,Croydon BME Forum,info@bmeforum.org,020 8684 2719,jaydeecrc@hotmail.com,Other - Social Groups & Activities,"0-5, 16-21, 21-65, 50+, Under 16",,0,181,,,CR0 3RG,CR0 3RG,1,05/07/2022 00:00,,https://croydon.simplyconnect.uk/activities/20ebc850-c6d8-11ec-a01a-eb5ce6b912dc/celebrate-bame-traditions
Carers' Forum,The Garwood Foundation,fundraiser@garwoodfoundation.org.uk,0208 686 4716,maryam.boureega@garwoodfoundation.org.uk,Carers ,"16-21, 21-65, 50+",,0,228,,,CR2 7HZ,CR2 7HZ,1,01/01/2021 00:00,,https://croydon.simplyconnect.uk/activities/545bfb00-2fda-11eb-98b2-6111c8be0748/carers-forum
Carers Week Special - Singing Taster Session,Carers Information Service,info@carersinfo.org.uk,"020 8649 9339, opt 1",info@carersinfo.org.uk,Carers ,"21-65, 50+",,0,163,,,CR0 1PB,CR0 1PB,1,06/08/2022 00:00,,https://croydon.simplyconnect.uk/activities/367bac80-db67-11ec-86aa-372aefa14f36/carers-week-special-singing-taster-session
Carers UK: Care for a Cuppa,Carers Information Service,info@carersinfo.org.uk,020 7378 4999 |,info@carersuk.org,Carers ,,,0,176,,,CR0 1PB,CR0 1PB,1,05/09/2022 00:00,,https://croydon.simplyconnect.uk/activities/d20667e0-cc67-11ec-b461-a7dc58e299f9/carers-uk-care-for-a-cuppa
Carers Support Service for carers of adults with learning disabilities,Croydon Mencap,info@croydonmencap.org.uk,07718 494 468,sue@croydonmencap.org.uk,Carers ,"21-65, 50+",,0,271,,,CR7 7HU,CR7 7HU,1,04/01/2021 00:00,,https://croydon.simplyconnect.uk/activities/b4fcafa0-2a92-11ec-bef0-9bee47ac7ae9/carers-support-service-for-carers-of-adults-with-learning-disabilities
Carers Support Centre Choir,Carers Information Service,info@carersinfo.org.uk,"020 8649 9339, opt 1",info@carersinfo.org.uk,Carers ,,,0,199,,,CR0 1PB,CR0 1PB,1,11/10/2021 00:00,,https://croydon.simplyconnect.uk/activities/5f2afba0-3fe6-11ec-8de4-4b28186d2c31/carers-support-centre-choir
Carers Information Service,Croydon South West Local Community Partnership,,,,Carers ,,,0,145,,,CR0 1PB,CR0 2TB,1,08/11/2022 00:00,,https://croydon.simplyconnect.uk/activities/108d2fd0-1958-11ed-944c-279349ac3c0c/carers-information-service
Carers Indian Dance,Carers Support Centre,info@carersinfo.org.uk,020 8649 9339,enquiries@carersinfo.org.uk,Carers ,"16-21, 21-65, 50+",,0,234,,,CR0 1PB,CR0 1PB,1,,,https://croydon.simplyconnect.uk/activities/5a6dac20-442f-11ea-9917-57f6fd75e558/carers-indian-dance
Carers Cafe,Carers Support Centre,info@carersinfo.org.uk,020 8649 9339,info@carersinfo.org.uk,Carers ,"16-21, 21-65, 50+",,0,415,,,CR0 1PB,CR0 1PB,1,,,https://croydon.simplyconnect.uk/activities/5a4f0a70-442f-11ea-af78-15245955e5e1/carers-cafe
Carers Café,Carers Information Service,info@carersinfo.org.uk,"020 8649 9339, opt 1",info@carersinfo.org.uk,Carers ,"16-21, 21-65, 50+",,0,176,,,CR0 1PB,CR0 1PB,1,05/09/2022 00:00,05/09/2023 00:00,https://croydon.simplyconnect.uk/activities/2190af20-cc62-11ec-abf6-fd1287fa788e/carers-cafe
Carers Book Club,Carers Support Centre,info@carersinfo.org.uk,020 8649 9339,enquiries@carersinfo.org.uk,Hobbies & Interests,"16-21, 21-65, 50+",,0,283,,,CR0 1PB,CR0 1PB,1,,,https://croydon.simplyconnect.uk/activities/5a2b8480-442f-11ea-9317-79db2658911f/carers-book-club
Careers and Employment  Support  for disabled people (ASSH),SCOPE Charity = Equality for Disabled People,helpline@scope.org.uk,,hannah.christian@scope.org.uk,"Other - Advice, Support & Self Help",,,0,91,,,E15 2GW,E15 2GW,1,1/22/2023 0:00,,https://croydon.simplyconnect.uk/activities/f5da3ca0-a17f-11ed-82dd-7130dedcef0b/careers-and-employment-support-for-disabled-people-assh
Career and Interview Coaching for unemployed women (ASSH),Smart Works,london@smartworks.org.uk,0207 288 1770,london@smartworks.org.uk,"Other - Advice, Support & Self Help",,,0,83,,,CR0 1TY,CR0 1TY,1,1/29/2023 0:00,,https://croydon.simplyconnect.uk/activities/98eab920-a185-11ed-9f29-0939844ab19e/career-and-interview-coaching-for-unemployed-women-assh
CareDogs Dog Befriending Service,CareDogs,hello@caredogs.org.uk,7545832912,delphine@caredogs.org.uk,Wellbeing,50+,,0,120,,,SE19 9FD,SE19 9FD,1,08/01/2022 00:00,,https://croydon.simplyconnect.uk/activities/f0ce1cf0-0e56-11ed-a3d9-ff6ee5f84913/caredogs-dog-befriending-service
Care to Listen,Croydon South West Local Community Partnership,,,enquiries@caretolisten.co.uk,Counselling,"16-21, 21-65, 50+",,0,211,,,CR0 6AN,CR0 2TB,1,3/31/2022 0:00,,https://croydon.simplyconnect.uk/activities/17caede0-b0e6-11ec-a6b4-3339ef5c54fe/care-to-listen
Cancer Patients Services,South East Cancer Help Centre,info@sechc.org.uk,020 8668 0974,lizzie.hewitt@sechc.org.uk,Counselling,,,0,845,,,CR8 2HA,CR8 2HA,1,04/07/2020 00:00,,https://croydon.simplyconnect.uk/activities/ad8de9c0-78d9-11ea-8686-2fcaeee62f29/cancer-patients-services
